,Actual,Predicted
20046,0.477,0.7191228416019229
3024,0.458,1.7640165706624131
15663,5.00001,2.7096588334317318
20484,2.186,2.838925930183926
9814,2.78,2.6046572518103233
13311,1.587,2.0117536732498777
7113,1.982,2.645500049376672
7668,1.575,2.168755321287115
18246,3.4,2.7407464411385263
5723,4.466,3.9156147250324906
20069,1.232,0.9389615628098582
6835,2.539,1.901221766444067
11351,2.151,1.758711781102484
20267,2.205,2.250159795468946
7097,2.198,2.5408697582138515
6298,1.362,1.9174049020084922
696,1.784,2.3864829489271457
19607,1.875,2.0109303249640362
14173,1.398,2.2274093366609904
19638,1.375,1.118531517341843
18332,4.25,2.9331307915130793
4691,4.056,2.660936212034116
2323,1.388,1.8776690795224837
16880,5.00001,3.351918252266252
14521,1.621,2.244641965819177
19833,0.514,0.9014366008493582
8383,1.513,1.8449955988426723
2647,0.948,1.6369502962778526
1456,2.041,1.9188916718833724
5678,3.615,3.2542643926510024
341,0.851,1.5716906637247021
4852,1.384,1.1268222788358813
14386,1.375,2.0575658652281916
18261,4.65,3.6881241612354785
16105,2.718,2.413548419387169
9149,2.394,2.5539747154620116
16879,3.409,2.797544386144075
6253,1.504,1.853904562565738
11741,1.281,1.0815874645092478
7330,1.56,1.8522518000544395
20460,2.581,3.0982382571323086
2412,0.905,1.4246318772125406
19391,0.713,1.0443323247165068
11441,2.197,2.0605114696627638
13332,1.51,1.7597450934273127
3721,2.901,1.8962650233720453
14986,1.42,2.0164855994381483
14152,2.915,1.8442863810169214
5654,2.554,2.07114797957167
2578,0.981,1.4427760330352157
19332,2.519,2.4037254970173265
3376,1.621,1.726609845931712
15118,1.294,1.872511811700221
9620,0.894,0.7256364130570603
7191,1.505,1.8786128711212768
19932,1.338,2.0882164715897744
13706,0.804,0.8460960843296519
6220,2.111,2.462232577520524
14641,2.556,2.494681680632638
12101,2.145,2.1889535134437423
11512,5.00001,2.5392250892446526
4743,2.021,1.8769763366758454
19402,0.815,1.1190117144006564
2608,0.988,1.2997807011954237
11449,2.819,2.986374719785104
7654,1.846,2.184579481157847
19060,2.547,1.7890926159450729
1350,1.431,1.9421512802291545
4591,1.625,1.5668682865682086
7168,1.426,1.7256066369383731
3354,0.859,0.19466371636196556
738,1.869,2.693080791720682
2351,0.713,1.2409240286555772
15137,1.744,1.9532269937098974
8530,2.25,2.193623650961321
19150,1.465,2.008220046668903
17041,4.05,3.3269794345442136
10495,1.896,2.0801084285974483
7806,1.644,2.408994443959088
8915,3.375,1.8382306119047485
19890,0.725,0.76844470879157
10216,1.438,1.614094934681141
4391,1.6,1.5899636983746106
4600,1.181,1.3726385713367293
5751,3.74,3.449662240645445
15479,2.027,2.4618166014415124
3328,0.966,1.4954308435901922
12809,0.658,0.7913581855528307
20268,1.674,1.6077840082749972
3958,1.798,1.9360420895810435
18873,0.967,1.884167677394828
17928,2.661,2.412443253652981
14307,0.911,1.6261902585257886
2028,0.498,0.7606505487996031
13069,0.907,0.9750410182600504
6052,1.158,1.4924054693282756
15975,2.786,2.6825868140803877
14331,2.5,1.662020320510031
1606,0.85,1.8133871560519736
10915,1.77,2.120443197262908
13336,0.997,1.5177695652370318
10389,3.576,4.096001257631407
14462,4.75,2.6265183079880856
14930,2.736,3.0304933046638283
6962,1.824,2.213131247424556
10236,1.578,1.8593113575320785
4279,1.938,1.6427450555801073
4738,3.336,2.824612248253338
17973,2.646,2.3611463916505
19559,0.584,1.2320335109798393
538,1.734,1.9289923732176035
4186,2.148,2.519147011678321
2826,2.0,4.946137379254836
17840,4.228,3.6668518292626047
12570,0.936,1.463828771686785
4767,1.222,2.0592679267267826
7763,1.676,2.1157462661851056
4043,3.036,2.314221719355473
11311,2.693,2.4524461451492243
6068,2.644,2.3075593647468366
19252,1.91,1.7407607793968012
8337,1.538,2.2100245441731303
16025,2.755,2.9807870355736057
4309,2.088,1.5888280489836788
15060,1.423,1.6467605899770987
2420,0.635,1.1234679680132018
13656,0.958,0.7616710856200726
5665,2.317,1.9377168927853745
3778,2.215,1.996891330359098
2301,0.895,1.4727312426811068
5990,2.26,2.712105705065042
6590,5.00001,6.801288273985456
16104,2.702,2.864452320502501
9622,0.596,1.1837814693583013
19122,1.933,2.031418474481164
13932,1.336,1.2912917551629448
290,1.619,2.581582069537099
17202,3.575,2.456254333960487
9970,2.765,2.266748005048406
20372,4.107,2.702790921745674
18346,3.75,1.6545461096331664
14970,1.352,1.679927098063466
4447,1.672,1.7917488631281273
4744,2.52,1.8414144115505806
3529,3.084,3.82982024958158
